date,price,volume
20210106,34866.7494417058,3677586993.86459
20210105,32243.8561683001,2878647321.31746
20210104,31823.5057391197,3544419975.99983
20210103,33453.4631086882,2915101950.6383
20210102,30749.7679505,3522418843.76423
20210101,29266.2070443966,1423661129.55105
20201231,28847.2745169386,1768590450.63838
20201230,28139.7045168374,1862173628.54255
20201229,26668.2062161431,1365145464.92754
20201228,26956.7385728651,1322310994.75757
20201227,27020.8179654576,2284128817.32041
20201226,25266.9855430911,1491143975.75783
20201225,24018.302839247,1104664542.61854
20201224,23220.3956460203,863910275.530714
20201223,23529.4677790942,1444320978.24387
20201222,23097.5196747184,1052113266.52826
20201221,23247.5334425152,1597507994.25761
20201220,23592.2050820246,916850847.981733
20201219,23355.8001485056,1088530521.43134
20201218,22877.1523402765,1237339916.50226
20201217,22605.8008043266,3037842531.4404
20201216,20083.1458989264,1799484268.72332
20201215,19352.0313661361,744009407.967468
20201214,19164.614686603,416652962.061705
20201213,19119.5867940478,523962279.773705
20201212,18472.532109151,429417475.756989
20201211,17939.0539216688,730606206.873586
20201210,18304.991797127,626321007.640232
20201209,18263.933462254,942242565.471432
20201208,18936.2984767714,766095474.953349
20201207,19203.0866366054,424540277.46059
20201206,19149.1880018125,359347760.876284
20201205,18996.799226928,317860829.059773
20201204,19115.7256574621,781643206.520633
20201203,19291.036178029,680585546.910542
20201202,18956.376120952,759071427.609486
20201201,19253.9549616114,1553720941.82792
20201130,18915.1632743551,1388461415.91502
20201129,17995.1499581227,447586432.567868
20201128,17319.1682968314,560123445.821057
20201127,16995.3117304382,930199449.584099
20201126,17378.2203781409,2276290018.32487
20201125,19049.245380243,1032836701.29687
20201124,18859.7208539028,1328950535.95986
20201123,18443.1928739985,864030737.198904
20201122,18418.3326657384,752967450.289148
20201121,18706.0745406863,656940137.017154
20201120,18339.1873328425,861960705.957126
20201119,17840.6658265132,785547362.149344
20201118,17873.3625383551,1534801196.18985
20201117,17082.04234742,1080702448.52377
20201116,16371.360887964,653699407.161351
20201115,15995.8004133447,270582917.7463
20201114,16024.8814904331,423203995.611027
20201113,16288.1025959245,650475928.554187
20201112,15930.3754688407,1011906251.51603
20201111,15595.9047458148,655501566.533741
20201110,15323.5946658162,517149150.799677
20201109,15378.963893067,887234227.12634
20201108,15202.6593144964,475806213.724184
20201107,15335.2060273262,920760114.937825
20201106,15576.1150289485,1020380220.87798
20201105,14732.2451111482,1283778124.33084
20201104,13896.6193624583,694922551.154738
20201103,13609.2126480019,468267802.46919
20201102,13592.8911895113,477149960.594248
20201101,13767.1579406247,233820228.566871
20201031,13742.2592910437,502181464.311505
20201030,13433.0137232383,553034060.015917
20201029,13328.626761764,510535401.347816
20201028,13441.6518383264,712122731.052235
20201027,13367.9602353029,694828293.256863
20201026,13065.3902292785,404596655.475701
20201025,13053.1944887763,306345082.946569
20201024,13028.558556901,225978240.605102
20201023,12933.2933485958,348493394.627163
20201022,12932.8239524891,598033230.786662
20201021,12465.8498015545,1094742161.4359
20201020,11848.7349688499,414546300.712387
20201019,11584.160393765,321808273.419524
20201018,11436.0975517894,105878056.7263
20201017,11347.5628923366,109323807.588927
20201016,11368.0312294943,277454932.338452
20201015,11418.0669821082,281179734.097318
20201014,11409.977742852,230144344.326279
20201013,11452.7765242718,284347116.574628
20201012,11450.5857290093,385339583.619722
20201011,11365.1225785942,159152724.01995
20201010,11338.2746933527,275437709.694052
20201009,10989.2486100197,280783491.300336
20201008,10740.0005271571,323083959.9407
20201007,10623.8270768758,208284025.822463
20201006,10703.0610669069,242998923.430655
20201005,10710.5617366995,184767338.557176
20201004,10611.7049449878,109106599.611918
20201003,10556.9812244621,94220197.467027
20201002,10533.6096818841,311627094.285779
20201001,10761.4540416977,398722968.133718
20200930,10747.5721746658,191508123.76497
20200929,10736.0024735046,215170974.399628
20200928,10883.9608174802,269402006.072209
20200927,10723.0887496712,136106449.471039
20200926,10724.1851851533,126506756.506141
20200925,10676.9497087083,283374773.710968
20200924,10452.3269212598,304603632.848081
20200923,10438.1276434563,275860706.005008
20200922,10474.6009537115,233120359.414491
20200921,10680.1069995251,443942168.236048
20200920,10921.6175103459,179848054.153713
20200919,11020.7227014344,169640660.427577
20200918,10930.8186744893,234155656.239945
20200917,10898.0612053341,261372088.542404
20200916,10904.0306407454,352301811.004017
20200915,10779.6655190152,354934867.216503
20200914,10515.2489012437,351292793.393002
20200913,10399.6327704807,253312722.761892
20200912,10375.4828792437,160687841.410429
20200911,10307.877645652,226456488.078342
20200910,10344.8849026122,341067871.26113
20200909,10192.7079982894,259954772.377618
20200908,10150.6890473237,444072413.306059
20200907,10164.4900466924,355480980.115632
20200906,10207.6882329949,232654642.630998
20200905,10268.6832541016,550167085.283826
20200904,10393.5662250382,709944627.93381
20200903,11038.2909975202,898204966.730305
20200902,11578.53767102,593552688.178061
20200901,11877.1639583231,457969850.997456
20200831,11689.6583266742,264236415.224155
20200830,11603.4299788111,157201577.93733
20200829,11512.251557939,154599260.800317
20200828,11448.2977891056,291458163.871939
20200827,11351.9974104812,398988836.892607
20200826,11409.5809704992,258786951.850106
20200825,11507.8493001364,425782465.097063
20200824,11739.6069209764,211588255.000023
20200823,11626.6790156274,153423224.520949
20200822,11564.4447367393,240952841.325354
20200821,11746.7996569565,425485000.70806
20200820,11803.5118809978,273110218.637085
20200819,11798.4652264505,509386941.779208
20200818,12163.8280441787,561915222.83173
20200817,12063.2320721379,680154527.777869
20200816,11849.0658379126,216661219.226281
20200815,11874.3581599728,313633002.348688
20200814,11757.0564918217,375994246.325249
20200813,11552.671221152,430774426.462902
20200812,11465.1719963723,364461360.752089
20200811,11624.4611955913,595780803.385412
20200810,11891.2599288511,586114873.352186
20200809,11671.4275249024,196989374.646489
20200808,11684.5349618265,223172704.779925
20200807,11711.8086555094,580905704.704416
20200806,11750.8578420585,490223442.658025
20200805,11467.6426681835,461465624.794507
20200804,11242.1958223981,323629004.325192
20200803,11252.2151533141,386229609.83455
20200802,11315.2049658584,784654357.224774
20200801,11609.4614804755,600290255.821886
20200731,11198.5812235164,487133122.491412
20200730,11036.7949509767,403886585.852817
20200729,11099.7576217586,585679906.993819
20200728,10982.6121944355,767487983.506233
20200727,10442.9616385447,1238525937.73181
20200726,9834.4838179062,388911738.848886
20200725,9623.995862104,195957796.409634
20200724,9561.2665879867,265387752.965261
20200723,9544.9814296258,355772680.838974
20200722,9371.2245048166,257420333.171154
20200721,9315.3450642082,276332293.571285
20200720,9186.8896133066,148749267.588847
20200719,9164.7455768705,101237811.773295
20200718,9171.555250544,100506993.657462
20200717,9144.4291861727,161369880.433823
20200716,9139.7625046202,233317491.635473
20200715,9227.7088660959,181465913.576245
20200714,9225.3495221311,199955645.707404
20200713,9284.3747262751,201170310.792905
20200712,9256.5706149806,132542204.795275
20200711,9245.5764228425,91321114.126203
20200710,9204.1226767588,177820322.813551
20200709,9334.6831630206,236804036.2877
20200708,9352.2745522567,271198083.881625
20200707,9273.28132388,191965009.77145
20200706,9223.3386998153,265708717.983058
20200705,9080.3920969369,133688004.789269
20200704,9110.8746475484,119273393.435478
20200703,9111.8617116853,160032081.753828
